,Id,Student_Age,Sex,High_School_Type,Scholarship,Additional_Work,Sports_activity,Transportation,Weekly_Study_Hours,Attendance,Reading,Notes,Listening_in_Class,Project_work,Grade
0,5001,21,Male,Other,50%,Yes,No,Private,0,Always,Yes,Yes,No,No,AA
1,5002,20,Male,Other,50%,Yes,No,Private,0,Always,Yes,No,Yes,Yes,AA
2,5003,21,Male,State,50%,No,No,Private,2,Never,No,No,No,Yes,AA
3,5004,18,Female,Private,50%,Yes,No,Bus,2,Always,No,Yes,No,No,AA
4,5005,22,Male,Private,50%,No,No,Bus,12,Always,Yes,No,Yes,Yes,AA
5,5006,20,Male,State,50%,No,No,Private,2,Always,Yes,No,Yes,Yes,BA
6,5007,18,Male,State,75%,No,No,Private,0,Always,No,Yes,Yes,Yes,CC
7,5008,18,Female,State,50%,Yes,Yes,Bus,2,Sometimes,No,Yes,Yes,Yes,BA
8,5009,19,Female,Other,50%,No,Yes,Bus,0,Always,No,No,No,Yes,CC
9,5010,21,Female,State,50%,No,No,Bus,12,Never,No,Yes,No,No,Fail
10,5011,18,Female,Private,50%,No,No,Private,12,Sometimes,No,No,No,Yes,BA
11,5012,18,Female,Private,75%,Yes,Yes,Private,8,Sometimes,No,Yes,No,Yes,Fail
12,5013,18,Female,Private,75%,No,No,Private,0,Always,Yes,No,No,No,Fail
13,5014,19,Female,State,100%,No,No,Private,0,Always,Yes,No,No,Yes,AA
14,5015,26,Male,State,75%,Yes,Yes,Private,12,Never,No,No,Yes,Yes,BA
15,5016,22,Male,State,50%,No,No,Private,0,Always,No,Yes,No,Yes,BA
16,5017,18,Female,State,100%,No,Yes,Private,0,Always,Yes,No,No,No,AA
17,5018,22,Male,State,50%,No,No,Private,0,Always,Yes,No,No,Yes,BA
18,5019,18,Female,State,75%,No,No,Private,12,Always,Yes,No,No,No,BA
19,5020,18,Male,Private,50%,No,No,Bus,2,Sometimes,No,No,Yes,No,BB
20,5021,18,Male,State,100%,Yes,No,Bus,0,Never,No,No,Yes,No,AA
21,5022,18,Male,State,100%,No,No,Bus,0,Never,No,No,No,No,AA
22,5023,22,Male,State,50%,Yes,No,Bus,0,Always,Yes,Yes,Yes,No,BB
23,5024,25,Male,State,25%,Yes,Yes,Private,12,Always,Yes,Yes,No,No,AA
24,5025,19,Male,State,50%,No,No,Private,2,Always,Yes,No,Yes,No,BA
25,5026,20,Male,State,50%,No,No,Bus,0,Always,No,Yes,No,No,BB
26,5027,20,Male,State,50%,No,Yes,Bus,0,Always,Yes,Yes,No,No,AA
27,5028,18,Male,Private,50%,Yes,No,Private,0,Always,Yes,Yes,Yes,No,AA
28,5029,24,Male,State,50%,No,No,Bus,0,Never,No,No,No,No,BB
29,5030,19,Male,Other,75%,No,No,Private,0,Never,No,No,Yes,Yes,CC
30,5031,19,Male,State,100%,Yes,Yes,Bus,0,Always,No,Yes,Yes,No,CC
31,5032,25,Male,State,50%,Yes,No,Private,0,Always,No,Yes,No,No,BB
32,5033,19,Female,State,50%,No,No,Private,2,Always,Yes,No,No,Yes,AA
33,5034,21,Female,State,50%,Yes,No,Bus,0,Always,Yes,Yes,No,No,BA
34,5035,18,Male,Private,50%,No,No,Bus,2,Always,Yes,No,Yes,No,BA
35,5036,18,Male,Private,75%,No,No,Private,12,Always,Yes,Yes,No,No,AA
36,5037,19,Male,Other,75%,Yes,No,Bus,12,Always,Yes,Yes,Yes,Yes,BA
37,5038,20,Male,State,50%,Yes,Yes,Bus,2,Sometimes,No,No,Yes,Yes,AA
38,5039,21,Male,State,100%,No,No,Private,0,Always,Yes,No,Yes,Yes,BA
39,5040,22,Female,State,50%,No,No,Bus,0,Always,No,Yes,Yes,Yes,AA
40,5041,18,Male,Private,50%,No,No,Private,2,Always,Yes,No,Yes,Yes,AA
41,5042,24,Male,State,50%,Yes,No,Private,2,Always,No,Yes,No,Yes,AA
42,5043,21,Male,State,50%,No,Yes,Private,0,Never,No,Yes,No,Yes,AA
43,5044,18,Male,State,50%,No,No,Bus,0,Always,Yes,No,Yes,No,CB
44,5045,20,Male,Other,50%,No,No,Bus,0,Always,Yes,Yes,Yes,Yes,AA
45,5046,18,Male,State,50%,No,No,Bus,8,Always,Yes,No,Yes,No,BB
46,5047,19,Male,State,50%,No,No,Bus,0,Always,Yes,Yes,No,No,CC
47,5048,19,Male,State,50%,No,No,Bus,0,Always,No,Yes,Yes,Yes,BB
48,5049,18,Male,State,50%,No,Yes,Bus,0,Always,No,No,Yes,No,AA
49,5050,18,Male,Private,75%,No,No,Private,2,Never,Yes,No,Yes,Yes,BA
50,5051,21,Male,State,50%,No,No,Bus,2,Sometimes,Yes,Yes,Yes,Yes,AA
51,5052,19,Female,Other,50%,Yes,Yes,Private,0,Always,Yes,Yes,No,No,CB
52,5053,22,Female,State,50%,Yes,No,Private,2,Always,Yes,Yes,Yes,No,AA
53,5054,21,Female,State,50%,No,Yes,Private,2,Always,Yes,Yes,Yes,No,CC
54,5055,21,Male,State,50%,No,No,Private,12,Never,No,Yes,No,Yes,BB
55,5056,25,Male,State,50%,Yes,No,Bus,8,Always,No,Yes,Yes,No,BB
56,5057,20,Male,State,50%,No,Yes,Private,0,Always,Yes,Yes,Yes,No,CC
57,5058,21,Male,State,50%,Yes,Yes,Private,0,Always,Yes,Yes,No,No,CB
58,5059,23,Male,State,50%,No,No,Bus,12,Always,Yes,Yes,Yes,No,BB
59,5060,19,Male,State,50%,No,Yes,Bus,0,Always,Yes,Yes,No,No,CC
60,5061,19,Female,State,50%,No,No,Private,12,Sometimes,Yes,6,Yes,No,BA
61,5062,18,Male,Other,50%,No,Yes,Private,2,Always,No,Yes,Yes,No,CC
62,5063,21,Male,State,50%,No,No,Private,0,Never,No,No,Yes,Yes,BB
63,5064,22,Male,State,75%,No,No,Bus,2,Always,Yes,Yes,Yes,No,CC
64,5065,22,Male,Other,100%,No,No,Private,0,Always,Yes,No,No,Yes,BB
65,5066,18,Male,State,50%,No,No,Bus,12,Always,Yes,No,No,No,BA
66,5067,22,Male,State,50%,No,No,Bus,0,Always,Yes,No,No,No,CC
67,5068,19,Male,Other,50%,Yes,Yes,Private,12,Always,No,No,No,No,AA
68,5069,19,Female,State,75%,Yes,No,Private,0,Always,Yes,No,Yes,No,CC
69,5070,21,Female,State,75%,No,No,Bus,0,Always,Yes,No,No,Yes,CC
70,5071,18,Male,State,75%,No,Yes,Bus,0,Always,Yes,Yes,Yes,Yes,DD
71,5072,18,Female,Other,75%,No,No,Private,0,Always,No,Yes,Yes,No,DC
72,5073,18,Male,State,50%,No,Yes,Bus,0,Always,No,Yes,Yes,Yes,DC
73,5074,21,Male,State,75%,No,No,Private,0,Always,No,Yes,Yes,No,DC
74,5075,18,Male,State,75%,No,No,Private,0,Always,Yes,No,No,No,DD
75,5076,18,Male,State,75%,No,Yes,Private,0,Always,No,Yes,No,No,DD
76,5077,20,Male,Private,25%,No,Yes,Private,2,Always,Yes,Yes,No,No,CB
77,5078,18,Male,Private,25%,No,No,Bus,2,Sometimes,No,6,No,Yes,DD
78,5079,19,Female,State,75%,Yes,Yes,Private,0,Always,Yes,Yes,Yes,No,CB
79,5080,19,Male,State,75%,No,No,Private,0,Always,Yes,Yes,Yes,No,BB
80,5081,20,Female,State,50%,Yes,No,Bus,0,Sometimes,Yes,Yes,Yes,Yes,CB
81,5082,24,Male,State,50%,Yes,No,Private,0,Always,No,Yes,No,No,BB
82,5083,20,Male,State,75%,Yes,No,Bus,2,Always,Yes,No,Yes,No,DD
83,5084,21,Male,Other,50%,No,No,Private,12,Always,Yes,Yes,No,Yes,DD
84,5085,24,Male,Other,50%,Yes,No,Bus,12,Always,No,Yes,No,No,DD
85,5086,18,Male,State,100%,No,No,Private,2,Always,Yes,Yes,Yes,No,CB
86,5087,21,Male,State,75%,No,No,Private,0,Never,No,No,Yes,Yes,CC
87,5088,20,Male,State,50%,No,Yes,Private,2,Always,Yes,No,No,Yes,DC
88,5089,18,Male,State,75%,No,Yes,Bus,0,Always,Yes,Yes,No,Yes,DC
89,5090,22,Male,State,50%,No,No,Private,0,Always,Yes,No,No,No,DC
90,5091,22,Female,State,50%,No,Yes,Bus,0,Sometimes,No,No,Yes,Yes,DC
91,5092,20,Male,State,100%,Yes,Yes,Bus,0,Always,No,Yes,Yes,No,DC
92,5093,18,Male,State,50%,No,No,Private,0,Always,Yes,No,No,No,DD
93,5094,18,Male,State,None,Yes,No,Bus,0,Always,No,Yes,No,No,CB
94,5095,20,Male,State,50%,No,No,Bus,0,Always,Yes,No,No,No,DC
95,5096,18,Male,Other,100%,Yes,Yes,Bus,0,Sometimes,No,No,No,Yes,CC
96,5097,18,Male,State,75%,No,Yes,Bus,0,Sometimes,No,No,No,No,DD
97,5098,18,Male,State,75%,Yes,No,Private,0,Always,No,No,Yes,No,DC
98,5099,18,Male,State,75%,No,Yes,Private,0,Never,No,No,No,Yes,DD
99,5100,20,Male,State,50%,No,No,Private,0,Never,No,No,No,Yes,DD
100,5101,18,Male,State,75%,No,No,Private,0,Sometimes,No,Yes,Yes,Yes,DC
101,5102,18,Male,State,75%,No,No,Bus,2,Always,No,No,Yes,Yes,DD
102,5103,18,Male,State,50%,No,No,Bus,0,Always,No,No,Yes,Yes,DD
103,5104,18,Male,Private,75%,No,No,Bus,12,Always,No,Yes,Yes,No,DD
104,5105,18,Female,State,50%,No,No,Private,0,Sometimes,No,Yes,No,Yes,BB
105,5106,18,Male,State,75%,Yes,Yes,Private,0,Always,Yes,No,No,No,DD
106,5107,18,Male,State,75%,No,Yes,Private,0,Always,No,No,No,Yes,DD
107,5108,18,Female,State,75%,Yes,Yes,Private,0,Always,No,Yes,Yes,No,DC
108,5109,22,Female,Private,100%,No,Yes,Private,2,Sometimes,Yes,Yes,No,Yes,DC
109,5110,18,Male,Private,50%,No,Yes,Bus,0,Sometimes,No,Yes,No,Yes,DD
110,5111,22,Male,State,50%,No,No,Private,2,Never,No,Yes,No,Yes,BA
111,5112,18,Female,Private,100%,No,Yes,Private,0,Always,No,No,Yes,Yes,BA
112,5113,20,Female,Other,50%,Yes,No,Private,0,3,No,Yes,Yes,Yes,BA
113,5114,21,Female,Other,50%,No,No,Private,0,Never,No,Yes,No,Yes,AA
114,5115,21,Female,State,100%,Yes,Yes,Private,8,Always,Yes,Yes,Yes,Yes,BA
115,5116,19,Female,State,100%,Yes,No,Bus,0,Always,Yes,Yes,Yes,Yes,AA
116,5117,21,Female,State,100%,No,No,Private,0,Always,Yes,Yes,Yes,No,AA
117,5118,26,Female,Private,50%,No,Yes,Private,0,Always,No,Yes,No,Yes,AA
118,5119,18,Male,State,100%,No,Yes,Bus,0,Never,No,Yes,No,No,AA
119,5120,21,Female,State,75%,No,Yes,Private,0,Always,No,No,Yes,Yes,BA
